Designator,Val,Package,Mid X,Mid U,Rotation,Layer
C1,22pF,C_0603_1608Metric,-334.651992,-140.348008,-135,bottom
C2,22pF,C_0603_1608Metric,-340.051992,-145.748008,45,bottom
C3,1uF,C_0603_1608Metric,-348.551992,-142.751992,-45,bottom
C4,10uF,C_0603_1608Metric,-349.651992,-134.148008,-135,bottom
C5,0.1uF,C_0603_1608Metric,-344.631992,-146.478008,-135,bottom
C6,0.1uF,C_0603_1608Metric,-336.8,-134.6,135,bottom
C7,0.1uF,C_0603_1608Metric,-343.051992,-129.851992,135,bottom
C8,0.1uF,C_0603_1608Metric,-71.7,-82.025,90,bottom
C9,0.1uF,C_0603_1608Metric,-95.5,-82.225,90,bottom
C10,0.1uF,C_0603_1608Metric,-114.6,-82.225,90,bottom
C11,0.1uF,C_0603_1608Metric,-133.8,-82.125,90,bottom
C12,0.1uF,C_0603_1608Metric,-152.6,-82.125,90,bottom
C13,0.1uF,C_0603_1608Metric,-176.5,-82.225,90,bottom
C14,0.1uF,C_0603_1608Metric,-195.5,-82.225,90,bottom
C15,0.1uF,C_0603_1608Metric,-214.5,-82.225,90,bottom
C16,0.1uF,C_0603_1608Metric,-233.5,-82.225,90,bottom
C17,0.1uF,C_0603_1608Metric,-257.5,-82.125,90,bottom
C18,0.1uF,C_0603_1608Metric,-276.5,-82.075,90,bottom
C19,0.1uF,C_0603_1608Metric,-295.5,-82.325,90,bottom
C20,0.1uF,C_0603_1608Metric,-314.5,-82.325,90,bottom
C21,0.1uF,C_0603_1608Metric,-355.1,-106.075,90,bottom
C22,0.1uF,C_0603_1608Metric,-59.9,-106.075,-90,bottom
C23,0.1uF,C_0603_1608Metric,-79,-106.075,-90,bottom
C24,0.1uF,C_0603_1608Metric,-97.9,-106.175,-90,bottom
C25,0.1uF,C_0603_1608Metric,-117,-106.125,-90,bottom
C26,0.1uF,C_0603_1608Metric,-136.1,-106.125,-90,bottom
C27,0.1uF,C_0603_1608Metric,-155,-106.125,-90,bottom
C28,0.1uF,C_0603_1608Metric,-174.1,-106.125,-90,bottom
C29,0.1uF,C_0603_1608Metric,-193.2,-106.125,-90,bottom
C30,0.1uF,C_0603_1608Metric,-212.1,-106.125,-90,bottom
C31,0.1uF,C_0603_1608Metric,-231.2,-106.125,-90,bottom
C32,0.1uF,C_0603_1608Metric,-250.2,-106.125,-90,bottom
C33,0.1uF,C_0603_1608Metric,-269.3,-106.1,-90,bottom
C34,0.1uF,C_0603_1608Metric,-288.4,-106.125,-90,bottom
C35,0.1uF,C_0603_1608Metric,-317,-106.125,-90,bottom
C36,0.1uF,C_0603_1608Metric,-333.8,-125.075,90,bottom
C37,0.1uF,C_0603_1608Metric,-309.9,-125.025,90,bottom
C38,0.1uF,C_0603_1608Metric,-290.9,-125.025,90,bottom
C39,0.1uF,C_0603_1608Metric,-271.9,-125.025,90,bottom
C40,0.1uF,C_0603_1608Metric,-252.7,-125.025,90,bottom
C41,0.1uF,C_0603_1608Metric,-233.6,-125.025,90,bottom
C42,0.1uF,C_0603_1608Metric,-214.6,-125.025,90,bottom
C43,0.1uF,C_0603_1608Metric,-195.6,-125.025,90,bottom
C44,0.1uF,C_0603_1608Metric,-176.5,-125.025,90,bottom
C45,0.1uF,C_0603_1608Metric,-157.4,-125.025,90,bottom
C46,0.1uF,C_0603_1608Metric,-138.4,-125.025,90,bottom
C47,0.1uF,C_0603_1608Metric,-119.4,-125.025,90,bottom
C48,0.1uF,C_0603_1608Metric,-100.3,-125.025,90,bottom
